CNES,NOME_ESTABELECIMENTO,TIPO_ESTABELECIMENTO,COD_CEP,BAIRRO,ZONA
5115795,ASSOCIACAO DE AMIGOS DO AUTISTA -AMA CAMBUCI,CLINICA/CENTRO DE ESPECIALIDADE,01519000,Cambuci,Centro
2077531,A C CAMARGO CANCER CENTER,HOSPITAL ESPECIALIZADO,01509900,Liberdade,Centro
3210022,ABADS,CLINICA/CENTRO DE ESPECIALIDADE,02063000,Vila Guilherme,Zona Norte
4848055,ADMINISTRA PLANTOES,CONSULTORIO ISOLADO,01310200,Bela Vista,Centro
3813517,AFIP - VILA CLEMENTINO,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),04020060,Vila Mariana,Zona Sul
0262943,AFIP PADRE MACHADO,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),04127001,Bosque da Saúde,Zona Sul
7506651,AFIP TDN - SP,CLINICA/CENTRO DE ESPECIALIDADE,04041050,Vila Clementino,Zona Sul
9955372,AJN SERVICOS MEDICOS ESPECIALIZADOS,CLINICA/CENTRO DE ESPECIALIDADE,03323050,Cidade Mãe do Céu,Zona Leste
8003904,ALLUS GESTAO INTEGRADA DE SAUDE,CLINICA/CENTRO DE ESPECIALIDADE,05421001,Pinheiros,Zona Oeste
6393608,AMA ESPECIALIDADES BURGO PAULISTA,POLICLINICA,03680000,Burgo Paulista,Zona Leste
6194974,AMA ESPECIALIDADES CAPAO REDONDO,POLICLINICA,05866000,Capão Redondo,Zona Oeste
6394558,AMA ESPECIALIDADES ITAQUERA,POLICLINICA,08210100,Itaquera,Zona Leste
4421906,AMA ESPECIALIDADES JARDIM EDITE,POLICLINICA,04576030,Cidade Monções,Zona Sul
6759998,AMA ESPECIALIDADES JARDIM GUAIRACA,POLICLINICA,03244030,Jardim Guairaca,Zona Leste
6200389,AMA ESPECIALIDADES JARDIM SAO LUIZ,POLICLINICA,05847500,Jardim Iracema,Zona Oeste
6148336,AMA ESPECIALIDADES PARQUE PERUCHE,POLICLINICA,02538010,Parque Peruche,Zona Norte
9882170,AMA ESPECIALIDADES PEDIATRICAS CAMPO LIMPO,POLICLINICA,05663020,Paraisópolis,Zona Oeste
6391893,AMA ESPECIALIDADES PERUS,POLICLINICA,05201070,Vila Fanton,Zona Oeste
6138314,AMA ESPECIALIDADES SANTA CECILIA DR HUMBERTO PASCALE,POLICLINICA,01153000,Barra Funda,Centro
6415415,AMA ESPECIALIDADES VILA CONSTANCIA DR VICENTE OCTAVIO GUIDO,POLICLINICA,04438280,Vila do Castelo,Zona Sul
6357083,AMA ESPECIALIDADES VILA DAS MERCES,POLICLINICA,04165001,Vila das Mercês,Zona Sul
6391885,AMA ESPECIALIDADES VILA ZATT,POLICLINICA,02975120,Vila Zat,Zona Norte
4049985,AMA UBS WAMBERTO DIAS DA COSTA,CENTRO DE SAUDE/UNIDADE BASICA,02311240,Vila Mazzei,Zona Norte
5713870,AMA_12H BORACEA DR LUIZ BACCALA,PRONTO ATENDIMENTO,01137020,Barra Funda,Centro
6964028,AMA_12H COMPLEXO PRATES (AMA 24H ATE JUNHO 2017),PRONTO ATENDIMENTO,01121000,Bom Retiro,Centro
5576989,AMA_12H JARDIM DAS LARANJEIRAS,CENTRO DE SAUDE/UNIDADE BASICA,08380048,Jardim Roseli,Zona Leste
6156959,AMA_12H JARDIM PERI PERI,PRONTO ATENDIMENTO,05535100,Jardim Peri Peri,Zona Oeste
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,05846380,Jardim Casablanca,Zona Oeste
5268125,AMA_12H MAURICE PATE,PRONTO ATENDIMENTO,03604030,Penha de França,Zona Leste
6135978,AMA_12H PRESIDENTE JUSCELINO KUBITSCHEK,PRONTO ATENDIMENTO,08465000,Conjunto Habitacional Juscelino Kubitschek,Zona Leste
6218830,AMA_24H CAPAO REDONDO,PRONTO ATENDIMENTO,05866000,Capão Redondo,Zona Oeste
6143180,AMA_24H ENGENHEIRO GOULART DR JOSE PIRES,PRONTO ATENDIMENTO,03726100,Engenheiro Goulart,Zona Leste
6135951,AMA_24H HOSP WALDOMIRO DE PAULA,POLICLINICA,08210590,Itaquera,Zona Leste
2042827,AMA_24H JARDIM NORDESTE DR CARLOS NEDER (AMA/UBS ATE 10/2021) -,PRONTO ATENDIMENTO,03693050,Jardim Coimbra,Zona Leste
4639057,AMA_24H JOSE BONIFACIO - ITAQUERA,PRONTO ATENDIMENTO,08250650,Conjunto Residencial José Bonifácio,Zona Leste
6728626,AMA_24H PARAISOPOLIS,PRONTO ATENDIMENTO,05656010,Fazenda Morumbi,Zona Oeste
4493478,AMA_24H PARQUE FIGUEIRA GRANDE,PRONTO ATENDIMENTO,04915170,Jardim Figueira Grande,Zona Sul
4488318,AMA_24H PARQUE NOVO SANTO AMARO,PRONTO ATENDIMENTO,05874130,Parque Novo Santo Amaro,Zona Oeste
6131670,AMA_24H PIRAJUSSARA (DE AMA 12H PARA AMA 24H EM 06/2022),PRONTO ATENDIMENTO,05760140,Jardim Martinica,Zona Oeste
6144055,AMA_24H SAPOPEMBA (AMA 12H ATE 01/2022),PRONTO ATENDIMENTO,03976020,Jardim Sapopemba,Zona Leste
5636469,AMA_24H SE,PRONTO ATENDIMENTO,01020030,Sé,Centro
6998208,AMA_24H SOROCABANA,PRONTO ATENDIMENTO,05049000,Vila Romana,Zona Oeste
7534817,AMB ESPEC ALTO DA BOA VISTA,POLICLINICA,04737000,Santo Amaro,Zona Sul
2751844,AMB ESPEC CECI DR ALEXANDRE KALIL YASBEK,POLICLINICA,04065004,Planalto Paulista,Zona Sul
2069008,AMB ESPEC DR. GERALDO PAULO BOURROL,HOSPITAL/DIA - ISOLADO,01050000,Centro,Centro
2751879,AMB ESPEC FREGUESIA DO O,POLICLINICA,02731000,Vila Albertina,Zona Norte
2787571,AMB ESPEC JARDIM MARCELO,POLICLINICA,05797000,Jardim Ipê,Zona Oeste
2751895,AMB ESPEC JOSE BONIFACIO IV,POLICLINICA,08255130,Conjunto Residencial José Bonifácio,Zona Leste
2751917,AMB ESPEC MOOCA ITALO DOMINGOS LE VOCCI,POLICLINICA,03112090,Mooca,Zona Leste
9653988,AMB ESPEC PARELHEIROS,POLICLINICA,04890430,Jardim Novo Parelheiros,Zona Sul
6670849,AMB ESPEC PIRITUBA,POLICLINICA,02945000,Jardim Cidade Pirituba,Zona Norte
4050312,AMB ESPEC SAO CARLOS,POLICLINICA,08411470,Jardim São Carlos (Zona Leste),Zona Leste
2751968,AMB ESPEC SAPOPEMBA,POLICLINICA,03976020,Jardim Sapopemba,Zona Leste
2068982,AMB ESPEC SM SES CENTRO,CENTRO DE ATENCAO PSICOSSOCIAL,01332030,Bela Vista,Centro
2751984,AMB ESPEC TUCURUVI ARMANDO DE AGUIAR PUPO,POLICLINICA,02331002,Tucuruvi,Zona Norte
3322637,AMB PROGRAMA EINSTEIN COMUNIDADE (ATE 06/2019 SUS),CLINICA/CENTRO DE ESPECIALIDADE,05663020,Paraisópolis,Zona Oeste
6912656,AMBULATORIO 8,CONSULTORIO ISOLADO,02189010,Parque Novo Mundo,Zona Norte
0276944,AMBULATORIO MEDICO DO INSTITUTO BUTANTAN,CLINICA/CENTRO DE ESPECIALIDADE,05503000,Butantã,Zona Oeste
6578578,AME AMB MED ESPEC DE PSIQUIATRIA V MARIA,CLINICA/CENTRO DE ESPECIALIDADE,02113012,Vila Maria,Zona Norte
6479200,AME AMB MED ESPEC HELIOPOLIS - DR. LUIZ ROBERTO BARRADAS BARATA,HOSPITAL/DIA - ISOLADO,04230000,Cidade Nova Heliópolis,Zona Sul
6423086,AME AMB MED ESPEC JARDIM DOS PRADOS,POLICLINICA,04676110,Vila São Pedro,Zona Sul
2091542,AME AMB MED ESPEC MARIA ZELIA,HOSPITAL/DIA - ISOLADO,03021040,Catumbi,Zona Leste
5395879,AME ASSISTENCIA MEDICA ESTELA S S,CLINICA/CENTRO DE ESPECIALIDADE,04011002,Vila Mariana,Zona Sul
5450063,AME DIGITAL AMBULATORIO MEDICO DE ESPECIALIDADES DIGITAL D,TELESSAUDE,01246000,Pacaembu,Centro
6432530,AME DR  MARIA CRISTINA CURY,POLICLINICA,04815180,Interlagos,Zona Sul
2068931,AME IDOSO OESTE,POLICLINICA,05050090,Lapa,Zona Oeste
2091461,AME IDOSO SUDESTE,POLICLINICA,04009003,Vila Mariana,Zona Sul
3117030,ASSOC AACD - MOOCA,CLINICA/CENTRO DE ESPECIALIDADE,03166000,Mooca,Zona Leste
2077655,ASSOC AACD V CLEMENTINO,HOSPITAL ESPECIALIZADO,04027000,Vila Clementino,Zona Sul
2688506,ASSOC APCD,CLINICA/CENTRO DE ESPECIALIDADE,02012000,Santana,Zona Norte
2089572,ASSOC CRUZ VERDE (INT),HOSPITAL ESPECIALIZADO,04037002,Vila Clementino,Zona Sul
5594448,ASSOC PAULISTA DE HOMEOPATIA,POLICLINICA,04037002,Vila Clementino,Zona Sul
3420647,ASSOC. CASA DEF. ERMELINO MATARAZZO,CLINICA/CENTRO DE ESPECIALIDADE,03808130,Vila Paranaguá,Zona Leste
7617348,ASSOCIACAO DE AMIGOS DO AUTISTA - AMA PARELHEIROS,CLINICA/CENTRO DE ESPECIALIDADE,04890610,Jardim Novo Parelheiros,Zona Sul
7861249,AURI MEDICINA DIAGNOSTICA,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),02031200,Canindé,Zona Norte
5281482,BANCO DE OLHOS DE SAO PAULO,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),03063000,Tatuapé,Zona Leste
7018290,BASE SAMU CENTRO BOM RETIRO AM1082,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,01129000,Bom Retiro,Centro
7024320,BASE SAMU CENTRO BOM RETIRO AM1149,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,01129000,Bom Retiro,Centro
5798930,BASE SAMU CENTRO BOM RETIRO URAM MC1112,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,01129000,Bom Retiro,Centro
5798949,BASE SAMU CENTRO BOM RETIRO URAM MC1119,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,01129000,Bom Retiro,Centro
5752299,BASE SAMU CENTRO BOM RETIRO URAM MC2020,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,01129000,Bom Retiro,Centro
5752302,BASE SAMU CENTRO BOM RETIRO URAM MC2045,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,01129000,Bom Retiro,Centro
5932572,BASE SAMU CENTRO BOM RETIRO VIR 01 SAV,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,01129000,Bom Retiro,Centro
7018215,BASE SAMU CENTRO CAPS AMA SE AM1097,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,01108000,Bom Retiro,Centro
7257902,BASE SAMU CENTRO CAPS AMA SE AM1181 SAV,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,01020030,Sé,Centro
5798957,BASE SAMU CENTRO CAPS AMA SE URAM MC1090,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,01108000,Bom Retiro,Centro
5798973,BASE SAMU CENTRO CAPS AMA SE URAM MC1138,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,01108000,Bom Retiro,Centro
7272308,BASE SAMU CENTRO CAPS AMA SE URAM MC2005,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,01108000,Bom Retiro,Centro
7272294,BASE SAMU CENTRO CAPS AMA SE URAM MC2006,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,01108000,Bom Retiro,Centro
7018142,BASE SAMU CENTRO HSPM AM1081,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,01532001,Aclimação,Centro
7255756,BASE SAMU CENTRO HSPM AM1113,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,01532001,Aclimação,Centro
6982603,BASE SAMU CENTRO HSPM AM1207,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,01306001,Bela Vista,Centro
5799074,BASE SAMU CENTRO NOVE DE JULHO URAM MC1079,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,01306001,Bela Vista,Centro
5798981,BASE SAMU CENTRO NOVE DE JULHO URAM MC1099,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,01306001,Bela Vista,Centro
7272820,BASE SAMU CENTRO NOVE DE JULHO URAM MC2003,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,01306001,Bela Vista,Centro
7272839,BASE SAMU CENTRO NOVE DE JULHO URAM MC2004,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,01306001,Bela Vista,Centro
7018533,BASE SAMU CENTRO UBS SE AM1208,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,01108000,Bom Retiro,Centro
7024304,BASE SAMU CENTRO UBS SE AM1209,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,01020030,Sé,Centro
7018509,BASE SAMU LESTE ATUALPA AM1091,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,08140270,Vila Morgadouro,Zona Leste
7030436,BASE SAMU LESTE H M CID TIRADENTES AM 1064,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,08471000,Cidade Tiradentes,Zona Leste
7018363,BASE SAMU LESTE H M CID TIRADENTES AM1108,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,08471000,Cidade Tiradentes,Zona Leste
5752329,BASE SAMU LESTE H M CIDADE TIRADENTES URAM MC2018,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,08471000,Cidade Tiradentes,Zona Leste
5752345,BASE SAMU LESTE H M CIDADE TIRADENTES URAM MC2026,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,08471000,Cidade Tiradentes,Zona Leste
7018541,BASE SAMU LESTE H M ERMELINO M AM1188,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,03807000,Vila Robertina,Zona Leste
7018282,BASE SAMU LESTE H M ERMELINO M AM1199,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,03807000,Vila Robertina,Zona Leste
7018568,BASE SAMU LESTE H M ITAQUERA AM1088,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,08210590,Itaquera,Zona Leste
7001371,BASE SAMU LESTE H M ITAQUERA AM1200,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,08210590,Itaquera,Zona Leste
7272421,BASE SAMU LESTE H M ITAQUERA URAM MC2011,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,08210590,Itaquera,Zona Leste
7272448,BASE SAMU LESTE H M ITAQUERA URAM MC2012,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,08210590,Itaquera,Zona Leste
5752353,BASE SAMU LESTE PB SAO MIGUEL URAM MC2010,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,08011000,Vila Americana,Zona Leste
5752361,BASE SAMU LESTE PB SAO MIGUEL URAM MC2017,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,08011000,Vila Americana,Zona Leste
7272472,BASE SAMU LESTE SAO MATEUS AM1075,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,08375000,Jardim Três Marias,Zona Leste
7018487,BASE SAMU LESTE SAO MATEUS AM1076,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,08375000,Jardim Três Marias,Zona Leste
7001436,BASE SAMU LESTE SAO MATEUS AM1109,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,08331190,Jardim Três Marias,Zona Leste
7271980,BASE SAMU LESTE SAO MATEUS AM1157,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,08375000,Jardim Três Marias,Zona Leste
7272499,BASE SAMU LESTE SAO MATEUS URAM MC2013,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,08375000,Jardim Três Marias,Zona Leste
7272502,BASE SAMU LESTE SAO MATEUS URAM MC2014,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,08375000,Jardim Três Marias,Zona Leste
7272170,BASE SAMU LESTE SAO MIGUEL PB AM1155 SAV,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,08011000,Vila Americana,Zona Leste
7018517,BASE SAMU LESTE UBS CID NOVA SAO MIGUEL AM1154,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,08042130,Cidade Nova São Miguel,Zona Leste
7018312,BASE SAMU LESTE UBS INACIO MONTEIRO AM1089,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,08474480,Jardim Pérola II,Zona Leste
7001320,BASE SAMU LESTE UBS ITAQUERA AM1107,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,08210090,Itaquera,Zona Leste
7001444,BASE SAMU LESTE UBS JARDIM DAS OLIVEIRAS AM1090,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,08122100,Jardim das Oliveiras,Zona Leste
7271972,BASE SAMU LESTE UBS JARDIM DAS OLIVEIRAS AM1153,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,08122100,Jardim das Oliveiras,Zona Leste
7272723,BASE SAMU LESTE UBS RIO CLARO AM1191,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,08395320,Conjunto Promorar Rio Claro,Zona Leste
5799058,BASE SAMU LESTE UBS RIO CLARO URAM MC1126,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,08395320,Conjunto Promorar Rio Claro,Zona Leste
5799066,BASE SAMU LESTE UBS RIO CLARO URAM MC1131,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,08395320,Conjunto Promorar Rio Claro,Zona Leste
7018355,BASE SAMU LESTE UPA CIDADE TIRADENTES AM1063,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,08472610,Conjunto Habitacional Inácio Monteiro,Zona Leste
7001401,BASE SAMU LESTE UPA CIDADE TIRADENTES AM1156,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,08472610,Conjunto Habitacional Inácio Monteiro,Zona Leste
7018584,BASE SAMU LESTE UPA ITAQUERA AM 1152,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,08220000,Cidade Antônio Estevão de Carvalho,Zona Leste
7255764,BASE SAMU LESTE UPA ITAQUERA AM1151 SAV,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,08220000,Cidade Antônio Estevão de Carvalho,Zona Leste
7001487,BASE SAMU LESTE UPA JARDIM HELENA AM1193,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,08090370,Jardim Helena,Zona Leste
