CNES,NOME_ESTABELECIMENTO,TIPO_ESTABELECIMENTO
5115795,ASSOCIACAO DE AMIGOS DO AUTISTA -AMA CAMBUCI,CLINICA/CENTRO DE ESPECIALIDADE
2077531,A C CAMARGO CANCER CENTER,HOSPITAL ESPECIALIZADO
3210022,ABADS,CLINICA/CENTRO DE ESPECIALIDADE
4848055,ADMINISTRA PLANTOES,CONSULTORIO ISOLADO
3813517,AFIP - VILA CLEMENTINO,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
0262943,AFIP PADRE MACHADO,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
7506651,AFIP TDN - SP,CLINICA/CENTRO DE ESPECIALIDADE
9955372,AJN SERVICOS MEDICOS ESPECIALIZADOS,CLINICA/CENTRO DE ESPECIALIDADE
8003904,ALLUS GESTAO INTEGRADA DE SAUDE,CLINICA/CENTRO DE ESPECIALIDADE
6393608,AMA ESPECIALIDADES BURGO PAULISTA,POLICLINICA
6194974,AMA ESPECIALIDADES CAPAO REDONDO,POLICLINICA
6394558,AMA ESPECIALIDADES ITAQUERA,POLICLINICA
4421906,AMA ESPECIALIDADES JARDIM EDITE,POLICLINICA
6759998,AMA ESPECIALIDADES JARDIM GUAIRACA,POLICLINICA
6200389,AMA ESPECIALIDADES JARDIM SAO LUIZ,POLICLINICA
6148336,AMA ESPECIALIDADES PARQUE PERUCHE,POLICLINICA
9882170,AMA ESPECIALIDADES PEDIATRICAS CAMPO LIMPO,POLICLINICA
6391893,AMA ESPECIALIDADES PERUS,POLICLINICA
6138314,AMA ESPECIALIDADES SANTA CECILIA DR HUMBERTO PASCALE,POLICLINICA
6415415,AMA ESPECIALIDADES VILA CONSTANCIA DR VICENTE OCTAVIO GUIDO,POLICLINICA
6357083,AMA ESPECIALIDADES VILA DAS MERCES,POLICLINICA
6391885,AMA ESPECIALIDADES VILA ZATT,POLICLINICA
4049985,AMA UBS WAMBERTO DIAS DA COSTA,CENTRO DE SAUDE/UNIDADE BASICA
5713870,AMA_12H BORACEA DR LUIZ BACCALA,PRONTO ATENDIMENTO
6964028,AMA_12H COMPLEXO PRATES (AMA 24H ATE JUNHO 2017),PRONTO ATENDIMENTO
5576989,AMA_12H JARDIM DAS LARANJEIRAS,CENTRO DE SAUDE/UNIDADE BASICA
6156959,AMA_12H JARDIM PERI PERI,PRONTO ATENDIMENTO
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO
5268125,AMA_12H MAURICE PATE,PRONTO ATENDIMENTO
6135978,AMA_12H PRESIDENTE JUSCELINO KUBITSCHEK,PRONTO ATENDIMENTO
6218830,AMA_24H CAPAO REDONDO,PRONTO ATENDIMENTO
6143180,AMA_24H ENGENHEIRO GOULART DR JOSE PIRES,PRONTO ATENDIMENTO
6135951,AMA_24H HOSP WALDOMIRO DE PAULA,POLICLINICA
2042827,AMA_24H JARDIM NORDESTE DR CARLOS NEDER (AMA/UBS ATE 10/2021) -,PRONTO ATENDIMENTO
4639057,AMA_24H JOSE BONIFACIO - ITAQUERA,PRONTO ATENDIMENTO
6728626,AMA_24H PARAISOPOLIS,PRONTO ATENDIMENTO
4493478,AMA_24H PARQUE FIGUEIRA GRANDE,PRONTO ATENDIMENTO
4488318,AMA_24H PARQUE NOVO SANTO AMARO,PRONTO ATENDIMENTO
6131670,AMA_24H PIRAJUSSARA (DE AMA 12H PARA AMA 24H EM 06/2022),PRONTO ATENDIMENTO
6144055,AMA_24H SAPOPEMBA (AMA 12H ATE 01/2022),PRONTO ATENDIMENTO
5636469,AMA_24H SE,PRONTO ATENDIMENTO
6998208,AMA_24H SOROCABANA,PRONTO ATENDIMENTO
7534817,AMB ESPEC ALTO DA BOA VISTA,POLICLINICA
2751844,AMB ESPEC CECI DR ALEXANDRE KALIL YASBEK,POLICLINICA
2069008,AMB ESPEC DR. GERALDO PAULO BOURROL,HOSPITAL/DIA - ISOLADO
2751879,AMB ESPEC FREGUESIA DO O,POLICLINICA
2787571,AMB ESPEC JARDIM MARCELO,POLICLINICA
2751895,AMB ESPEC JOSE BONIFACIO IV,POLICLINICA
2751917,AMB ESPEC MOOCA ITALO DOMINGOS LE VOCCI,POLICLINICA
9653988,AMB ESPEC PARELHEIROS,POLICLINICA
6670849,AMB ESPEC PIRITUBA,POLICLINICA
4050312,AMB ESPEC SAO CARLOS,POLICLINICA
2751968,AMB ESPEC SAPOPEMBA,POLICLINICA
2068982,AMB ESPEC SM SES CENTRO,CENTRO DE ATENCAO PSICOSSOCIAL
2751984,AMB ESPEC TUCURUVI ARMANDO DE AGUIAR PUPO,POLICLINICA
3322637,AMB PROGRAMA EINSTEIN COMUNIDADE (ATE 06/2019 SUS),CLINICA/CENTRO DE ESPECIALIDADE
6912656,AMBULATORIO 8,CONSULTORIO ISOLADO
